2017-10-09 16:12:21,680 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com:EmployeeInfo:0.0.1-SNAPSHOT @ D:\Hibernate Examples\EmployeeInfo\pom.xml.
2017-10-09 16:12:22,108 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /EmployeeInfo/src/main/java
2017-10-09 16:12:22,110 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /EmployeeInfo/src/main/resources
2017-10-09 16:12:22,112 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /EmployeeInfo/src/test/java
2017-10-09 16:12:22,113 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /EmployeeInfo/src/test/resources
2017-10-09 16:12:22,465 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com:EmployeeInfo:0.0.1-SNAPSHOT @ D:\Hibernate Examples\EmployeeInfo\pom.xml.
2017-10-09 16:12:24,996 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com:EmployeeInfo:0.0.1-SNAPSHOT @ D:\Hibernate Examples\EmployeeInfo\pom.xml.
2017-10-09 16:12:25,065 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-09 16:12:25,069 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-09 16:12:25,072 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-09 16:12:25,073 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-09 16:12:30,126 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-10-09 16:12:36,371 [Worker-8] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Hibernate Examples\EmployeeInfo
2017-10-09 16:12:36,372 [Worker-8] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2017-10-09 16:13:54,403 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-09 16:13:54,409 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-09 16:13:54,412 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-09 16:13:54,413 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
